seed,run_id,active_windows,no_player_windows,inner_stable_count,inner_stable_rate,outer_stable_count,outer_stable_rate,nonconverged_count,nonconverged_rate,limit_hit_count,limit_hit_rate,oscillation_window_count,oscillation_rate,reference_eligible_window_count,reference_eligible_window_rate,feedback_eligible_trace_rounds,feedback_applied_rounds,feedback_applied_rate,reference_positive_count,reference_positive_rate,reference_zero_count,reference_negative_count,reference_missing_count,reference_unavailable_count,reference_below_current_count,reference_below_current_rate,reference_search_suboptimal_count,reference_search_suboptimal_rate,inner_rounds_mean_active,outer_rounds_mean_active,solve_us_mean_active,reference_lookup_us_mean_active,scheduler_wall_ns_mean,scheduler_thread_cpu_ns_mean,policy_wall_ns_mean,policy_thread_cpu_ns_mean,welfare_evaluation_wall_ns_mean,welfare_evaluation_thread_cpu_ns_mean,process_duration_seconds,process_tree_cpu_seconds,peak_process_tree_rss_bytes,process_timed_out,process_exit_code
Q61,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ61.a0dc3a87,973,27,973,1.0,970,0.9969167523124358,3,0.003083247687564234,0,0.0,0,0.0,970,0.9969167523124358,1424,454,0.3188202247191011,973,1.0,0,0,0,0,3,0.003083247687564234,3,0.003083247687564234,1.7399794450154162,1.4665981500513874,22.980472764645427,11.773895169578623,207455.8,0.0,149166.7,0.0,0.0,0.0,11.281000000191852,9.859375,232804352,False,0
Q62,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ62.8e7a475a,968,32,968,1.0,949,0.9803719008264463,19,0.01962809917355372,0,0.0,0,0.0,949,0.9803719008264463,1462,513,0.3508891928864569,968,1.0,0,0,0,0,19,0.01962809917355372,19,0.01962809917355372,1.8088842975206612,1.5299586776859504,27.9349173553719,14.764462809917354,297202.9,15625.0,245210.2,15625.0,0.0,0.0,11.702999999979511,10.328125,243085312,False,0
Q63,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ63.1ece564e,981,19,981,1.0,976,0.9949031600407747,5,0.0050968399592252805,0,0.0,0,0.0,976,0.9949031600407747,1515,539,0.3557755775577558,981,1.0,0,0,0,0,5,0.0050968399592252805,5,0.0050968399592252805,1.833843017329256,1.5494393476044852,23.05606523955148,12.47808358817533,297513.5,15625.0,247324.8,15625.0,0.0,0.0,11.234000000171363,9.890625,244514816,False,0
Q64,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ64.4eec7cf2,956,44,956,1.0,951,0.9947698744769874,5,0.005230125523012552,0,0.0,0,0.0,951,0.9947698744769874,1304,353,0.27070552147239263,956,1.0,0,0,0,0,5,0.005230125523012552,5,0.005230125523012552,1.4843096234309623,1.3692468619246863,19.986401673640167,10.044979079497908,374010.8,46875.0,319039.3,46875.0,0.0,0.0,12.155999999959022,10.75,232624128,False,0
Q65,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ65.373e1575,988,12,988,1.0,937,0.9483805668016194,51,0.05161943319838057,1,0.0010121457489878543,0,0.0,938,0.9493927125506073,1482,544,0.36707152496626183,988,1.0,0,0,0,0,50,0.05060728744939271,50,0.05060728744939271,1.8208502024291497,1.5506072874493928,34.28947368421053,18.296558704453442,325360.5,0.0,256486.7,0.0,0.0,0.0,12.186999999918044,10.875,232087552,False,0
Q66,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ66.9e6fa0b6,983,17,983,1.0,981,0.9979654120040692,2,0.002034587995930824,1,0.001017293997965412,0,0.0,982,0.9989827060020345,1632,650,0.39828431372549017,983,1.0,0,0,0,0,1,0.001017293997965412,1,0.001017293997965412,1.9338758901322481,1.661241098677518,37.59003051881994,21.155645981688707,332301.2,15625.0,262442.6,15625.0,0.0,0.0,12.125,10.765625,233508864,False,0
Q67,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ67.34895bf5,980,20,980,1.0,977,0.996938775510204,3,0.003061224489795918,2,0.0020408163265306124,0,0.0,979,0.9989795918367347,1486,507,0.3411843876177658,980,1.0,0,0,0,0,1,0.0010204081632653062,1,0.0010204081632653062,1.8081632653061224,1.5173469387755103,29.45408163265306,15.108163265306123,333615.3,0.0,263079.0,0.0,0.0,0.0,11.812999999849126,10.46875,238055424,False,0
Q68,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ68.a672ace4,980,20,980,1.0,959,0.9785714285714285,21,0.02142857142857143,0,0.0,0,0.0,959,0.9785714285714285,1397,438,0.31352899069434503,980,1.0,0,0,0,0,21,0.02142857142857143,21,0.02142857142857143,1.626530612244898,1.4469387755102041,21.63469387755102,11.348979591836734,313861.1,15625.0,247813.7,0.0,0.0,0.0,12.344000000040978,10.921875,241991680,False,0
Q69,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ69.127f5c76,981,19,981,1.0,975,0.9938837920489296,6,0.0061162079510703364,0,0.0,0,0.0,975,0.9938837920489296,1373,398,0.2898761835396941,981,1.0,0,0,0,0,6,0.0061162079510703364,6,0.0061162079510703364,1.5963302752293578,1.4057084607543324,23.39551478083588,11.89704383282365,449275.5,31250.0,392573.3,31250.0,0.0,0.0,12.827999999979511,11.46875,243736576,False,0
Q70,TSCv1.E1.homogeneous.n20.low.sche_nash.FQ70.67ca7235,984,16,984,1.0,900,0.9146341463414634,84,0.08536585365853659,0,0.0,0,0.0,900,0.9146341463414634,1361,461,0.3387215282880235,984,1.0,0,0,0,0,84,0.08536585365853659,84,0.08536585365853659,1.9115853658536586,1.4684959349593496,36.63008130081301,19.364837398373982,994369.9,125000.0,903321.5,109375.0,0.0,0.0,13.952999999979511,12.703125,237629440,False,0
