seed,stratum,dimension,label,count
Q61,active,termination,outer_assignment_unchanged,454
Q61,active,termination,social_gap_zero,516
Q61,active,termination,social_reference_below_current_welfare,3
Q61,active,reference_source,offline_table,973
Q61,no_player,termination,no_players,27
Q61,no_player,reference_source,not_requested,27
Q62,active,termination,outer_assignment_unchanged,513
Q62,active,termination,social_gap_zero,436
Q62,active,termination,social_reference_below_current_welfare,19
Q62,active,reference_source,offline_table,968
Q62,no_player,termination,no_players,32
Q62,no_player,reference_source,not_requested,32
Q63,active,termination,outer_assignment_unchanged,539
Q63,active,termination,social_gap_zero,437
Q63,active,termination,social_reference_below_current_welfare,5
Q63,active,reference_source,offline_table,981
Q63,no_player,termination,no_players,19
Q63,no_player,reference_source,not_requested,19
Q64,active,termination,outer_assignment_unchanged,353
Q64,active,termination,social_gap_zero,598
Q64,active,termination,social_reference_below_current_welfare,5
Q64,active,reference_source,offline_table,956
Q64,no_player,termination,no_players,44
Q64,no_player,reference_source,not_requested,44
Q65,active,termination,outer_assignment_unchanged,543
Q65,active,termination,outer_iteration_limit,1
Q65,active,termination,social_gap_zero,394
Q65,active,termination,social_reference_below_current_welfare,50
Q65,active,reference_source,offline_table,988
Q65,no_player,termination,no_players,12
Q65,no_player,reference_source,not_requested,12
Q66,active,termination,outer_assignment_unchanged,649
Q66,active,termination,outer_iteration_limit,1
Q66,active,termination,social_gap_zero,332
Q66,active,termination,social_reference_below_current_welfare,1
Q66,active,reference_source,offline_table,983
Q66,no_player,termination,no_players,17
Q66,no_player,reference_source,not_requested,17
Q67,active,termination,outer_assignment_unchanged,505
Q67,active,termination,outer_iteration_limit,2
Q67,active,termination,social_gap_zero,472
Q67,active,termination,social_reference_below_current_welfare,1
Q67,active,reference_source,offline_table,980
Q67,no_player,termination,no_players,20
Q67,no_player,reference_source,not_requested,20
Q68,active,termination,outer_assignment_unchanged,438
Q68,active,termination,social_gap_zero,521
Q68,active,termination,social_reference_below_current_welfare,21
Q68,active,reference_source,offline_table,980
Q68,no_player,termination,no_players,20
Q68,no_player,reference_source,not_requested,20
Q69,active,termination,outer_assignment_unchanged,398
Q69,active,termination,social_gap_zero,577
Q69,active,termination,social_reference_below_current_welfare,6
Q69,active,reference_source,offline_table,981
Q69,no_player,termination,no_players,19
Q69,no_player,reference_source,not_requested,19
Q70,active,termination,outer_assignment_unchanged,461
Q70,active,termination,social_gap_zero,439
Q70,active,termination,social_reference_below_current_welfare,84
Q70,active,reference_source,offline_table,984
Q70,no_player,termination,no_players,16
Q70,no_player,reference_source,not_requested,16
Q71,active,termination,outer_assignment_unchanged,618
Q71,active,termination,outer_iteration_limit,2
Q71,active,termination,social_gap_zero,308
Q71,active,termination,social_reference_below_current_welfare,52
Q71,active,reference_source,offline_table,980
Q71,no_player,termination,no_players,20
Q71,no_player,reference_source,not_requested,20
Q72,active,termination,outer_assignment_unchanged,388
Q72,active,termination,social_gap_zero,563
Q72,active,termination,social_reference_below_current_welfare,11
Q72,active,reference_source,offline_table,962
Q72,no_player,termination,no_players,38
Q72,no_player,reference_source,not_requested,38
Q73,active,termination,outer_assignment_unchanged,383
Q73,active,termination,social_gap_zero,565
Q73,active,termination,social_reference_below_current_welfare,18
Q73,active,reference_source,offline_table,966
Q73,no_player,termination,no_players,34
Q73,no_player,reference_source,not_requested,34
Q74,active,termination,outer_assignment_unchanged,288
Q74,active,termination,social_gap_zero,625
Q74,active,termination,social_reference_below_current_welfare,71
Q74,active,reference_source,offline_table,984
Q74,no_player,termination,no_players,16
Q74,no_player,reference_source,not_requested,16
Q75,active,termination,outer_assignment_unchanged,488
Q75,active,termination,outer_iteration_limit,1
Q75,active,termination,social_gap_zero,427
Q75,active,termination,social_reference_below_current_welfare,75
Q75,active,reference_source,offline_table,991
Q75,no_player,termination,no_players,9
Q75,no_player,reference_source,not_requested,9
Q76,active,termination,outer_assignment_unchanged,198
Q76,active,termination,social_gap_zero,754
Q76,active,termination,social_reference_below_current_welfare,6
Q76,active,reference_source,offline_table,958
Q76,no_player,termination,no_players,42
Q76,no_player,reference_source,not_requested,42
Q77,active,termination,outer_assignment_unchanged,585
Q77,active,termination,outer_iteration_limit,1
Q77,active,termination,social_gap_zero,385
Q77,active,termination,social_reference_below_current_welfare,10
Q77,active,reference_source,offline_table,981
Q77,no_player,termination,no_players,19
Q77,no_player,reference_source,not_requested,19
Q78,active,termination,outer_assignment_unchanged,295
Q78,active,termination,outer_iteration_limit,1
Q78,active,termination,social_gap_zero,667
Q78,active,termination,social_reference_below_current_welfare,1
Q78,active,reference_source,offline_table,964
Q78,no_player,termination,no_players,36
Q78,no_player,reference_source,not_requested,36
Q79,active,termination,outer_assignment_unchanged,630
Q79,active,termination,social_gap_zero,284
Q79,active,termination,social_reference_below_current_welfare,60
Q79,active,reference_source,offline_table,974
Q79,no_player,termination,no_players,26
Q79,no_player,reference_source,not_requested,26
Q80,active,termination,outer_assignment_unchanged,178
Q80,active,termination,social_gap_zero,797
Q80,active,reference_source,offline_table,975
Q80,no_player,termination,no_players,25
Q80,no_player,reference_source,not_requested,25
