candidate,load,topology,n,throughput_mean,throughput_sd,throughput_delta_vs_c0_pct,qpr_mean,qpr_sd,qpr_delta_vs_c0_pct,paired_throughput_wins,paired_qpr_wins,paired_dual_wins,latency_mean,cost_per_completed_mean,completion_ratio_mean
ready_order,low,homogeneous,5,1.143400,0.351316,0.000,0.024900429,0.012160983,0.000,0,0,0,84.463378,0.644437,0.598534
ready_pne_envelope_first,low,homogeneous,5,1.122200,0.401340,-1.854,0.028897506,0.016374921,16.052,2,4,2,79.684425,0.679150,0.587415
ready_pne_envelope_each,low,homogeneous,5,1.108800,0.400327,-3.026,0.028316529,0.016093670,13.719,1,4,1,79.811136,0.689137,0.580373
ready_order,low,heterogeneous,5,0.905600,0.320233,0.000,0.019797336,0.013624785,0.000,0,0,0,89.093752,0.775056,0.473949
ready_pne_envelope_first,low,heterogeneous,5,0.813800,0.387642,-10.137,0.017827860,0.013664313,-9.948,3,2,2,77.907798,0.937576,0.425916
ready_pne_envelope_each,low,heterogeneous,5,0.819000,0.379254,-9.563,0.018481732,0.014330303,-6.645,3,2,2,76.708780,0.913450,0.428643
ready_order,middle,homogeneous,5,0.977000,1.000856,0.000,0.057949119,0.116327457,0.000,0,0,0,165.478492,3.446033,0.391191
ready_pne_envelope_first,middle,homogeneous,5,0.990600,1.003997,1.392,0.051022522,0.100257196,-11.953,2,4,2,161.749251,3.791179,0.396690
ready_pne_envelope_each,middle,homogeneous,5,0.973600,0.999452,-0.348,0.050652775,0.100396372,-12.591,1,2,0,162.530038,3.801178,0.389805
ready_order,middle,heterogeneous,5,0.798400,0.935296,0.000,0.026459065,0.055727534,0.000,0,0,0,198.119178,2.623310,0.318755
ready_pne_envelope_first,middle,heterogeneous,5,0.771200,0.954841,-3.407,0.026201825,0.054910629,-0.972,3,1,1,197.250051,2.285682,0.307945
ready_pne_envelope_each,middle,heterogeneous,5,0.746000,0.964556,-6.563,0.026190846,0.054901743,-1.014,2,2,0,168.221999,2.473151,0.297783
ready_order,high,homogeneous,5,0.651200,0.792403,0.000,0.003365387,0.005054344,0.000,0,0,0,318.011046,2.965268,0.092649
ready_pne_envelope_first,high,homogeneous,5,0.590600,0.597125,-9.306,0.002565934,0.003314194,-23.755,2,3,2,305.410704,2.647144,0.084150
ready_pne_envelope_each,high,homogeneous,5,0.587600,0.591503,-9.767,0.002480814,0.003164843,-26.284,2,2,2,313.744915,2.620684,0.083723
ready_order,high,heterogeneous,5,0.732600,0.862356,0.000,0.005687873,0.010768933,0.000,0,0,0,396.159852,2.265567,0.104228
ready_pne_envelope_first,high,heterogeneous,5,0.782800,0.921797,6.852,0.009008420,0.015937584,58.379,3,3,3,349.092212,2.302182,0.111308
ready_pne_envelope_each,high,heterogeneous,5,0.780800,0.914629,6.579,0.008886471,0.015663910,56.235,3,3,3,346.662730,2.272609,0.111027
