algorithm,load,cpu_util,mem_util
Greedy,rfhigh,0.6476173644416776,0.8837617677793398
Greedy,rflow,0.2770435223979748,0.6664628997395732
Greedy,rfmiddle,0.1842055004746208,0.45220493324424604
Hash,rfhigh,0.31647938957512345,0.5109055193616198
Hash,rflow,0.19949213116260808,0.34283832256143104
Hash,rfmiddle,0.14683051503444303,0.3066422365825906
Hiku,rfhigh,0.6331781940445385,0.9176493396146497
Hiku,rflow,0.2577242309818837,0.5992729700339421
Hiku,rfmiddle,0.5825639962136964,0.80698867007992
Jiagu,rfhigh,0.10770790573536775,0.28130743407959224
Jiagu,rflow,0.10696682113629359,0.33819477399163334
Jiagu,rfmiddle,0.0889216368146789,0.22016963928832398
Load Balance,rfhigh,0.34796994134421516,0.6350201420448448
Load Balance,rflow,0.2831774868461,0.5172071724979732
Load Balance,rfmiddle,0.5282291986346046,0.6705268827037829
NSESche,rfhigh,0.320294254698358,0.6671311875807298
NSESche,rflow,0.17687222564994512,0.5277744088943284
NSESche,rfmiddle,0.14999762737175407,0.3359422946023703
OCS,rfhigh,0.7020240272884429,0.8744108459283636
OCS,rflow,0.215500985610755,0.604048628470681
OCS,rfmiddle,0.6486618308798,0.8116844922118897
Orion,rfhigh,0.5766386374823858,0.7645622088324273
Orion,rflow,0.0558929845141126,0.2831257498031753
Orion,rfmiddle,0.17585983290213408,0.4544413878833569
Random,rfhigh,0.12690513837452616,0.4991483852231754
Random,rflow,0.09932773782839346,0.5291546843250744
Random,rfmiddle,0.10084593222450637,0.3462447627586038
sche_faasrank,rfhigh,0.4249235957538212,0.6372122178678865
sche_faasrank,rflow,0.4363290487150332,0.6387082257988594
sche_faasrank,rfmiddle,0.3404524337547523,0.6017729355788255
